productid,rawmaterialid,qtyinkg
14020,RM001,10.0
14020,RM053,18.0
14020,RM092,0.4
14020,RM910,0.75
14021,RM183,0.72
14021,RM1201,2.0
14021,RM1008,0.05
14021,RM001,16.0
14021,RM900,0.1
14021,RM914,8.4
14021,RM916,12.5
14021,RM054,20.0
14021,RM092,0.4
14022,RM911,0.69
14022,RM1201,0.15
14022,RM001,0.92
14022,RM220,0.01
14022,RM222,0.005
14022,RM606,0.028
14022,RM201,0.26
14022,RM092,0.2
14023,RM197,0.13
14023,RM1201,2.0
14023,RM1008,0.5
14023,RM912,25.0
14023,RM001,12.0
14023,RM900,0.15
14023,RM312,0.05
14023,RM054,20.0
14023,RM092,0.5
14026,RM918,0.685
14026,RM1201,0.28
14026,RM004,0.28
14026,RM001,1.37
14026,RM053,2.74
14026,RM092,0.05
14026,RM910,0.275
14027,RM911,0.915
14027,RM920,0.001
14027,RM1201,0.1
14027,RM002,0.85
14027,RM200,0.08
14027,RM092,0.05
14027,RM910,0.08
14028,RM197,0.2
14028,RM051,25.0
14028,RM1201,2.0
14028,RM002,10.0
14028,RM705,0.07
14028,RM700,0.03
14028,RM304,0.005
14028,RM502,0.005
14028,RM092,1.0
43003,RM605,0.059
43003,RM505,0.076
43003,RM400,0.116
41013,RM600,0.046
14028,RM910,10.0
14029,RM051,4.0
14029,RM1201,0.27
14029,RM1015,0.003
14029,RM1016,0.138
14029,RM002,2.1
14029,RM092,0.05
14029,RM910,2.185
14030,RM197,0.04
14030,RM1201,2.0
14030,RM002,20.0
14030,RM390,0.16
14030,RM517,0.3
14030,RM092,0.5
14030,RM910,8.0
14031,RM918,2.0
14031,RM051,28.0
14031,RM1201,2.0
14031,RM1000,1.0
14031,RM1008,3.0
14031,RM002,14.0
14031,RM092,0.5
14032,RM918,1.8
14032,RM051,28.0
14032,RM1201,2.0
14032,RM1007,3.0
14032,RM002,14.0
14032,RM092,0.5
14033,RM918,1.0
14033,RM051,25.0
14033,RM1201,2.0
14033,RM1007,4.0
14033,RM1000,0.55
14033,RM002,12.0
14033,RM092,0.5
14034,RM918,1.85
14034,RM051,25.0
14034,RM1201,2.0
14034,RM1000,3.0
14034,RM002,12.0
14034,RM092,0.5
14035,RM918,1.0
14035,RM051,25.0
14035,RM1201,2.0
14035,RM1002,2.0
14035,RM002,12.0
14035,RM092,0.5
14035,RM910,2.0
14036,RM918,0.2
14036,RM051,25.0
14036,RM1201,2.0
14036,RM1006,3.0
14036,RM1002,0.2
14036,RM002,10.0
14036,RM802,0.03
14036,RM092,0.5
14037,RM918,1.72
14037,RM051,25.0
14037,RM1201,2.0
14037,RM1016,3.0
14037,RM002,14.0
14037,RM602,0.265
14037,RM092,0.5
14038,RM918,1.7
14038,RM051,25.0
14038,RM1201,2.0
14038,RM1016,2.25
14038,RM1008,0.25
14038,RM002,10.0
14038,RM602,0.08
14038,RM505,0.5
14038,RM092,0.5
14039,RM918,1.0
14039,RM051,25.0
14039,RM1201,2.0
14039,RM1016,0.5
14039,RM1008,4.0
14039,RM002,10.0
14039,RM092,0.5
14040,RM918,1.7
14040,RM051,25.0
14040,RM1201,2.0
14040,RM1016,1.0
14040,RM002,14.0
14040,RM602,2.5
14040,RM092,0.5
14041,RM1201,2.0
14041,RM1016,0.2
14041,RM002,12.0
14041,RM602,0.19
14041,RM053,25.0
14041,RM092,0.5
14041,RM910,20.0
14042,RM1201,2.0
14042,RM1016,0.5
14042,RM002,12.0
14042,RM602,0.08
14042,RM053,25.0
14042,RM092,0.5
14042,RM910,20.0
14043,RM918,2.1
14043,RM051,25.0
14043,RM1201,2.0
14043,RM002,14.0
14043,RM602,0.19
14043,RM606,2.0
14043,RM802,0.4
14043,RM092,0.5
14044,RM918,2.2
14044,RM051,25.0
14044,RM183,0.2
14044,RM1201,2.0
14044,RM1000,0.4
14044,RM002,10.0
14044,RM390,2.7
14044,RM092,0.5
14045,RM918,2.0
14045,RM051,25.0
14045,RM183,0.5
14045,RM1201,2.0
14045,RM002,10.0
14045,RM092,0.5
14046,RM197,0.01
14046,RM1201,2.0
14046,RM912,17.0
14046,RM002,18.0
14046,RM390,0.1
14046,RM502,0.02
14046,RM053,12.0
14047,RM918,0.8
14047,RM197,0.0
14047,RM1201,2.0
14047,RM005,15.0
14047,RM390,0.0
14047,RM053,25.0
14047,RM910,10.0
14048,RM919,4.0
14048,RM1201,1.0
14048,RM004,0.0
14048,RM001,22.0
14049,RM183,0.08
14049,RM1201,2.0
14049,RM912,14.0
14049,RM005,14.0
14049,RM304,0.01
14049,RM502,0.05
14049,RM053,25.0
14050,RM183,0.025
14050,RM1201,2.0
14050,RM912,14.0
14050,RM005,14.0
14050,RM304,0.01
14050,RM502,0.06
14050,RM053,25.0
14051,RM918,1.72
14051,RM1201,2.0
14051,RM1016,3.0
14051,RM005,14.0
14051,RM602,0.3
14051,RM502,0.05
14051,RM053,25.0
15014,RM051,25.0
15014,RM183,0.75
15014,RM1201,2.0
15014,RM1015,0.03
15014,RM005,5.0
15014,RM001,10.0
15014,RM200,9.2
15015,RM051,15.0
15015,RM183,0.14
15015,RM1201,2.0
15015,RM1015,0.09
15015,RM004,5.0
15015,RM001,10.0
15015,RM606,0.02
15015,RM200,8.0
15019,RM911,1.3
15019,RM183,0.07
15019,RM1201,0.3
15019,RM921,0.52
15019,RM002,2.0
15019,RM053,1.0
15019,RM092,0.2
15023,RM919,0.22
15023,RM051,25.0
15023,RM183,0.09
15023,RM1201,2.0
15023,RM005,6.0
15023,RM001,6.0
15023,RM606,0.04
15023,RM202,6.6
15023,RM092,0.4
15027,RM051,20.0
15027,RM183,0.15
15027,RM1201,2.25
15027,RM004,2.0
15027,RM001,14.5
15027,RM200,12.0
15027,RM092,0.4
15027,RM080,0.5
15029,RM051,25.0
15029,RM185,8.0
15029,RM1201,2.0
15029,RM004,2.0
15029,RM001,10.0
15029,RM200,4.0
15029,RM092,0.4
15031,RM919,7.8
15031,RM211,0.8
15031,RM051,22.0
15031,RM183,0.3
15031,RM1201,2.0
15031,RM004,3.0
15031,RM001,12.0
15031,RM200,0.8
15031,RM092,0.4
15033,RM051,30.0
15033,RM183,0.1
15033,RM1201,2.25
15033,RM004,2.0
15033,RM210,2.0
15033,RM001,12.0
15033,RM200,7.8
15033,RM092,0.4
15033,RM080,1.0
15034,RM051,32.0
15034,RM183,0.04
15034,RM1201,2.0
15034,RM004,2.0
15034,RM210,10.0
15034,RM001,10.0
15034,RM700,0.025
15034,RM505,0.07
15034,RM200,10.9
63001,RM1201,0.5
15037,RM051,26.0
15037,RM183,0.85
15037,RM1201,2.0
15037,RM1015,0.12
15037,RM004,2.0
15037,RM210,10.0
15037,RM001,12.0
15037,RM505,0.12
15037,RM200,10.0
15038,RM051,20.0
15038,RM183,0.875
15038,RM1201,2.0
15038,RM004,2.0
15038,RM001,10.0
15038,RM600,0.094
15038,RM200,10.0
15039,RM051,25.0
15039,RM183,1.0
15039,RM1201,2.0
15039,RM004,2.0
15039,RM001,10.0
15039,RM313,0.2
15039,RM505,1.7
15039,RM202,10.0
15040,RM051,30.0
15040,RM183,1.7
15040,RM1201,2.0
15040,RM1015,1.2
15040,RM004,2.0
15040,RM001,10.0
15040,RM505,0.5
15040,RM202,5.0
15041,RM051,25.0
15041,RM183,0.6
15041,RM1201,2.0
15041,RM1004,0.5
15041,RM004,2.0
15041,RM001,8.0
15041,RM802,0.1
15041,RM202,0.0
15042,RM051,22.0
15042,RM185,7.0
15042,RM1201,2.0
15042,RM1015,0.1
15042,RM004,2.0
15042,RM001,10.0
15042,RM200,4.0
15042,RM131,2.5
15042,RM092,0.4
15043,RM051,0.0
15043,RM1201,2.0
15043,RM004,5.0
15043,RM001,10.0
15043,RM700,0.4
15043,RM505,0.1
15043,RM200,50.0
15043,RM092,0.4
15044,RM051,25.0
15044,RM183,0.12
15044,RM1201,2.0
15044,RM004,2.0
15044,RM001,13.0
15001,RM183,0.508
15036,RM1201,1.35
15036,RM183,0.047
15036,RM200,10.0
15036,RM606,0.067
63001,RM050,20.0
63001,RM002,9.5
63001,RM602,0.255
63001,RM400,0.66
15044,RM505,0.45
15044,RM200,8.5
15044,RM202,4.0
15045,RM051,25.0
15045,RM183,0.25
15045,RM1201,2.0
15045,RM004,2.0
15045,RM210,3.0
15045,RM001,10.0
15045,RM304,1.5
15045,RM505,0.07
15045,RM200,5.0
15045,RM202,4.0
15046,RM051,3.35
15046,RM183,0.158
15046,RM1201,0.3
15046,RM1015,0.016
15046,RM004,0.33
15046,RM001,1.66
15046,RM200,2.0
15047,RM1303,2.75
15047,RM051,25.0
15047,RM1201,2.0
15047,RM004,2.0
15047,RM001,10.0
15047,RM304,0.195
15047,RM505,0.9
15047,RM200,7.05
15048,RM051,22.5
15048,RM183,0.12
15048,RM1201,2.0
15048,RM004,2.0
15048,RM001,7.5
15048,RM505,0.08
15048,RM200,9.0
15048,RM202,4.85
15049,RM051,25.0
15049,RM183,0.4
15049,RM1201,2.0
15049,RM1000,0.1
15049,RM1010,0.05
15049,RM004,2.0
15049,RM001,10.0
15049,RM200,1.5
15050,RM051,4.4
15050,RM183,0.225
15050,RM1201,0.2
15050,RM004,0.4
15050,RM001,1.5
15050,RM505,0.005
15050,RM200,0.235
15050,RM131,0.4
15051,RM051,3.82
15051,RM183,0.025
15051,RM1201,0.31
15051,RM004,0.31
15051,RM001,1.52
15051,RM803,0.0015
15051,RM505,0.005
15051,RM200,1.525
15051,RM131,0.0
15052,RM197,0.022
15052,RM051,3.5
15052,RM1201,0.34
15052,RM004,0.28
15052,RM001,1.125
15052,RM304,0.0013
15052,RM802,0.0005
15052,RM200,1.676
15052,RM202,1.676
15053,RM211,0.632
15053,RM197,0.017
15053,RM051,3.16
15053,RM1201,0.25
15053,RM004,0.25
15053,RM001,1.0
15053,RM900,0.001
15053,RM304,0.008
15053,RM505,0.008
15053,RM200,1.265
15053,RM202,0.885
15055,RM051,25.0
15055,RM183,0.1
15055,RM1201,2.0
15055,RM004,2.0
15055,RM001,8.0
15055,RM517,1.0
15055,RM200,10.0
15056,RM051,25.0
15056,RM183,0.17
15056,RM1201,2.0
15056,RM004,2.0
15056,RM001,8.0
15056,RM517,0.15
15056,RM200,12.0
15057,RM051,3.71
15057,RM183,0.0047
15057,RM1201,0.25
15057,RM004,0.25
15057,RM001,1.24
15057,RM606,0.003
15057,RM505,0.0012
15057,RM200,1.615
15058,RM197,0.11
15058,RM051,3.8
15058,RM1201,0.3
15058,RM004,0.3
15058,RM001,1.215
15058,RM606,0.049
15058,RM505,0.0045
15058,RM200,1.82
15059,RM197,0.016
15059,RM051,3.745
15059,RM1201,0.3
15059,RM004,0.3
15059,RM001,1.5
15059,RM220,0.001
15059,RM606,0.054
15059,RM200,2.41
15060,RM051,4.0
15060,RM183,0.045
15060,RM1201,0.3
15060,RM004,0.3
15060,RM001,1.27
15060,RM390,0.004
15060,RM700,0.035
15060,RM505,0.17
15060,RM200,1.895
15060,RM131,1.1
15061,RM051,3.45
15061,RM183,0.072
15061,RM1201,0.3
15061,RM1015,0.07
15061,RM004,0.575
15061,RM001,1.44
15061,RM606,0.18
15061,RM802,0.01
15061,RM200,1.44
63001,RM300,0.065
85014,RM050,23.0
63001,RM1313,0.065
15063,RM051,3.815
15063,RM183,0.048
15063,RM1201,0.3
15063,RM1015,0.018
15063,RM004,0.31
15063,RM001,1.22
15063,RM802,0.003
15063,RM200,2.29
15064,RM211,10.0
15064,RM183,0.2
15064,RM1201,1.5
15064,RM005,17.5
15062,RM606,0.358
15064,RM001,7.5
15064,RM602,0.03
15064,RM606,0.07
15064,RM802,0.012
15064,RM200,11.0
15064,RM101,0.5
15066,RM051,3.94
15066,RM183,0.16
15066,RM1201,0.3
15066,RM004,0.7
15066,RM001,1.41
15066,RM390,0.0056
15066,RM505,0.1
15066,RM200,1.055
15067,RM051,4.0
15067,RM183,0.016
15067,RM1201,0.3
15067,RM004,0.62
15067,RM001,1.56
15067,RM605,0.0015
15067,RM200,1.29
15068,RM051,4.2
15068,RM183,0.05
15068,RM1201,0.3
15068,RM004,0.5
15068,RM001,1.2
15068,RM602,0.011
15068,RM606,0.05
15068,RM300,0.0013
15068,RM200,1.68
15069,RM051,15.0
15069,RM183,0.4
15069,RM1201,2.0
15069,RM1015,0.4
15069,RM004,5.0
15069,RM001,10.0
15069,RM606,0.04
15069,RM200,8.0
15070,RM051,4.0
15070,RM183,0.08
15070,RM1201,0.32
15070,RM004,0.3
15070,RM001,1.6
15070,RM606,0.0
15070,RM507,0.01
15070,RM200,0.52
15072,RM051,30.0
15072,RM183,0.8
15072,RM1201,2.0
15072,RM004,2.0
15072,RM001,5.0
15072,RM602,0.04
15072,RM505,0.5
15072,RM200,12.0
15073,RM051,30.0
15073,RM183,1.0
15073,RM1201,2.0
15073,RM005,10.0
15073,RM004,0.0
15073,RM702,0.02
15073,RM390,0.1
15073,RM304,0.04
15073,RM505,0.25
15073,RM203,5.0
15074,RM051,40.0
15074,RM183,0.16
15074,RM1201,2.0
15074,RM005,12.0
15074,RM004,0.0
15074,RM390,0.15
15074,RM505,0.06
15074,RM200,12.0
15074,RM092,1.0
15074,RM080,0.0
15075,RM051,28.0
15075,RM183,0.8
15075,RM1201,2.0
15075,RM005,10.0
15075,RM004,0.0
15075,RM802,0.05
15075,RM200,5.0
15075,RM092,1.0
15075,RM080,0.0
15076,RM051,3.72
15076,RM183,0.09
15076,RM1201,0.3
15076,RM004,0.0
15076,RM001,1.8
15076,RM300,0.0015
15076,RM302,0.015
15076,RM505,0.125
15076,RM200,1.485
15077,RM051,4.1
15077,RM183,0.082
15077,RM1201,0.3
15077,RM001,1.64
15077,RM200,1.16
15077,RM131,0.395
15077,RM092,0.2
16128,RM1101,80.15
16128,RM183,0.675
16118,RM183,0.46
16118,RM800,0.02
16118,RM1101,80.15
16118,RM200,4.5
16119,RM183,0.28
16119,RM600,0.033
16119,RM801,0.011
16119,RM1101,79.15
16119,RM200,4.65
16123,RM1302,4.0
16123,RM801,0.005
16123,RM1101,79.15
16123,RM200,2.0
16142,RM183,0.64
16142,RM600,0.007
16142,RM801,0.005
16142,RM1101,80.15
16142,RM200,2.5
16145,RM183,0.38
16145,RM600,0.045
16145,RM801,0.006
16145,RM1101,80.15
16145,RM202,10.0
16146,RM183,0.69
16146,RM604,0.018
16146,RM300,0.005
16146,RM1101,80.15
16146,RM200,2.0
16147,RM185,0.21
16147,RM604,0.027
16147,RM803,0.0125
16147,RM1101,80.15
16117,RM801,0.011
16117,RM600,0.036
16117,RM200,3.2
15071,RM051,29.5
15071,RM1201,1.0
15071,RM183,1.6
15071,RM200,6.6
15071,RM390,0.064
15071,RM505,0.064
16120,RM801,0.013
16120,RM600,0.005
16120,RM200,2.9
16120,RM183,0.19
16120,RM1101,79.15
20014,RM505,0.0015
20014,RM221,0.005
16147,RM200,6.4
16149,RM183,0.42
16149,RM600,0.04
16149,RM803,0.02
16149,RM1101,80.15
16149,RM200,19.0
16153,RM183,0.15
16153,RM600,0.02
16153,RM606,0.03
16153,RM304,0.005
16153,RM801,0.005
16153,RM1101,80.15
16153,RM200,3.3
16157,RM183,0.3
16157,RM604,0.005
16157,RM1103,80.15
16157,RM200,7.5
16158,RM183,0.455
16158,RM604,0.05
16158,RM300,0.005
16158,RM802,0.04
16158,RM1101,80.15
16158,RM200,4.5
16159,RM183,0.08
16159,RM606,0.3
16159,RM803,0.006
16159,RM1101,80.15
16159,RM200,4.2
16503,RM183,0.56
16503,RM604,0.025
16503,RM702,0.002
16503,RM300,0.0065
16503,RM1103,73.15
16503,RM200,4.0
16503,RM202,5.87
16504,RM183,1.15
16504,RM604,0.023
16504,RM300,0.0205
16504,RM1103,79.15
16504,RM200,3.22
16504,RM202,4.26
16505,RM183,0.255
16505,RM600,0.0123
16505,RM803,0.0053
16505,RM802,0.0032
16505,RM1103,73.15
16505,RM1104,73.15
16505,RM200,4.0
16505,RM202,1.522
16506,RM050,15.0
16506,RM183,0.22
16506,RM100,0.15
16506,RM045,42.0
16506,RM061,1.5
16506,RM600,0.022
16506,RM801,0.001
16506,RM040,25.0
16506,RM060,0.15
16506,RM200,4.2
16506,RM202,3.92
16507,RM185,0.652
16507,RM604,0.027
16507,RM300,0.025
16507,RM802,0.01
16507,RM1103,73.15
16507,RM200,6.3
16509,RM183,0.015
16509,RM220,0.02
16509,RM300,0.0066
16509,RM803,0.0005
16509,RM1103,73.0
16509,RM517,0.005
16509,RM200,16.6
16510,RM183,0.066
16510,RM604,0.027
16510,RM702,0.027
16510,RM300,0.025
16510,RM1104,73.0
16510,RM200,6.0
16511,RM183,0.115
16511,RM604,0.025
16511,RM803,0.01
16511,RM1103,73.0
16511,RM200,3.7
16548,RM183,0.775
16548,RM604,0.255
16548,RM803,0.04
16548,RM1101,80.15
16548,RM200,17.0
16710,RM918,0.9
16710,RM183,0.025
16710,RM1102,80.15
16710,RM505,0.03
16710,RM200,2.0
16710,RM910,0.8
16716,RM183,0.165
16716,RM602,0.035
16716,RM802,0.017
16716,RM800,0.045
16716,RM1102,80.15
16716,RM517,0.022
16716,RM200,5.8
16717,RM183,0.06
16717,RM300,0.003
16717,RM802,0.005
16717,RM1102,80.15
16717,RM200,4.0
16718,RM183,1.5
16718,RM702,0.4
16718,RM700,0.7
16718,RM1102,80.15
16718,RM505,4.5
16718,RM200,1.75
16719,RM183,0.55
16719,RM602,0.025
16719,RM300,0.025
16719,RM1102,80.15
16719,RM202,3.0
16722,RM183,0.23
16722,RM602,0.06
16722,RM803,0.02
16722,RM1101,80.15
16722,RM200,5.0
16723,RM183,0.11
16723,RM602,0.06
16723,RM606,0.35
16723,RM1101,80.15
16723,RM200,4.0
16727,RM183,0.16
16727,RM602,0.05
16727,RM803,0.03
16501,RM1103,73.15
16508,RM801,0.007
16508,RM200,2.0
16508,RM1302,5.85
16508,RM1103,73.0
16502,RM705,0.11
16512,RM803,0.03
16512,RM604,0.04
16512,RM517,0.05
16512,RM304,0.01
16512,RM200,4.0
16502,RM600,0.008
16502,RM517,0.095
16502,RM502,0.06
16502,RM304,0.015
16512,RM183,0.06
16512,RM1103,72.2
16727,RM1101,80.15
16727,RM200,4.0
16728,RM183,0.06
16728,RM602,0.04
16728,RM400,0.05
16728,RM1101,80.15
16728,RM200,4.0
16729,RM183,0.01
16729,RM605,0.05
16729,RM1101,80.15
16729,RM200,2.5
16730,RM183,0.01
16730,RM400,0.004
16730,RM1102,80.15
16730,RM200,2.4
16731,RM183,0.04
16731,RM602,0.025
16731,RM309,0.016
16731,RM1102,80.15
16731,RM200,3.36
16733,RM183,0.008
16733,RM400,0.005
16733,RM1102,80.15
16733,RM517,0.04
16733,RM200,3.2
16734,RM183,0.05
16734,RM304,0.01
16734,RM801,0.01
16734,RM1101,80.15
16734,RM517,0.02
16734,RM200,3.0
16735,RM183,0.025
16735,RM304,0.002
16735,RM1101,80.15
16735,RM517,0.025
16735,RM200,3.6
16736,RM183,0.16
16736,RM304,0.008
16736,RM1101,80.15
16736,RM517,0.024
16736,RM200,2.4
20001,RM120,0.2
20001,RM102,1.0
20001,RM004,0.0
20001,RM001,49.0
20001,RM201,1.0
20001,RM200,49.0
20002,RM051,27.0
20002,RM1202,2.0
20002,RM004,4.0
20002,RM001,8.0
20002,RM221,0.2
20002,RM200,9.0
20002,RM202,2.0
20009,RM051,6.0
20009,RM1202,2.0
20009,RM004,7.0
20009,RM220,0.05
20009,RM200,21.0
20009,RM202,10.0
20009,RM080,4.0
20011,RM051,13.0
20011,RM1202,2.0
20011,RM004,4.0
20011,RM001,7.0
20011,RM220,0.05
20011,RM200,20.0
20011,RM202,8.0
20012,RM051,25.0
20012,RM1202,2.0
20012,RM005,4.0
20012,RM001,7.0
20012,RM220,0.05
20012,RM203,6.0
20012,RM200,14.0
20016,RM051,5.0
20016,RM1202,2.0
20016,RM004,4.0
20016,RM001,13.0
20016,RM220,0.25
20016,RM200,0.0
20016,RM202,25.0
20028,RM1202,2.0
20028,RM004,4.0
20028,RM001,7.0
20028,RM220,0.0
20028,RM054,9.0
20028,RM200,20.0
20028,RM202,14.0
20032,RM051,0.0
20032,RM1202,2.0
20032,RM004,5.0
20032,RM001,10.0
20032,RM221,0.0
20032,RM200,26.0
20032,RM202,5.0
20033,RM051,37.0
20033,RM1202,2.0
20033,RM004,2.5
20033,RM001,3.5
20033,RM220,0.01
20033,RM200,2.5
20033,RM202,6.0
20034,RM051,0.0
20034,RM1202,2.0
20034,RM004,4.0
20034,RM001,18.0
20034,RM201,3.0
20034,RM200,17.0
20034,RM202,6.0
20038,RM051,0.0
20038,RM1202,2.0
20038,RM004,3.0
20038,RM001,17.0
20038,RM220,0.01
20038,RM203,6.0
20038,RM200,12.0
20039,RM051,8.0
20039,RM1202,0.68
20039,RM005,4.0
20039,RM001,8.5
20039,RM204,30.0
20040,RM051,31.0
20040,RM1202,2.0
20040,RM004,1.5
20040,RM001,10.0
20040,RM220,0.12
20040,RM200,6.0
20040,RM202,2.0
20045,RM051,27.0
20045,RM1202,2.0
20045,RM004,4.0
20045,RM001,9.0
20045,RM220,0.02
20045,RM200,9.0
20045,RM202,6.0
20046,RM051,5.0
20046,RM1202,2.0
20046,RM004,1.0
20046,RM001,10.0
20046,RM220,0.01
20046,RM201,6.0
20046,RM200,25.0
20046,RM202,7.0
20064,RM051,15.0
20064,RM1202,2.0
20064,RM004,3.0
20064,RM001,7.0
20064,RM220,0.0
20064,RM200,5.0
20064,RM202,20.0
20073,RM051,12.0
20073,RM1202,1.0
20073,RM004,10.0
20073,RM001,4.0
20073,RM220,0.01
20073,RM200,12.0
20073,RM202,13.0
20075,RM051,25.0
20075,RM1202,2.0
20075,RM004,4.0
20075,RM001,9.0
20075,RM606,0.15
20075,RM200,12.0
20075,RM202,6.0
20080,RM051,19.0
20080,RM1202,1.6
20080,RM004,3.0
20080,RM001,5.5
20080,RM220,0.058
20080,RM221,0.01
20080,RM801,0.01
20080,RM202,16.5
20083,RM051,3.0
20083,RM183,0.04
20083,RM1202,2.0
20083,RM004,3.0
20083,RM001,7.0
20083,RM606,0.05
20083,RM505,0.0015
20083,RM200,21.0
20083,RM202,9.0
20113,RM051,19.0
20113,RM1202,1.5
20113,RM004,2.0
20113,RM001,12.0
20113,RM200,24.0
20113,RM202,0.0
20115,RM051,6.0
20115,RM1202,2.0
20115,RM004,3.0
20115,RM001,10.5
20115,RM200,22.0
20115,RM202,10.6
20117,RM051,28.0
20117,RM1202,2.0
20117,RM004,2.0
20117,RM210,5.0
20117,RM001,8.0
20117,RM220,0.01
20117,RM200,8.0
